"location.long","location.lat","timestamp","burst_","step_id_","case_","x1_","y1_","x2_","y2_","t1_","t2_","dt_","sl_","ta_","individual.local.identifier","utm.northing","x2_.1"
-8.5025617368769,TRUE,"2014-04-13 10:18:35",1,16,FALSE,4968423.57701914,-1184995.01292633,4968576.00221085,-1184824.47109253,"2014-04-13 10:18:35","2014-04-13 10:33:57",15.3666666666667,234.416090727313,-55.6857631591663,"B3",-1184824.47109253,-1.31196944765399
-8.50258783675848,TRUE,"2014-04-17 10:31:42",15,149,FALSE,4967849.91156059,-1184948.96353803,4968233.33962037,-1184788.83507396,"2014-04-17 10:31:42","2014-04-17 10:47:30",15.8,414.404544230893,-169.256902664083,"B3",-1184788.83507396,-1.31445792954225
-8.50261423652035,TRUE,"2014-04-16 12:20:34",12,121,FALSE,4967717.75640465,-1185030.93272914,4967851.28122603,-1184748.72789262,"2014-04-16 12:20:34","2014-04-16 12:36:12",15.6333333333333,327.537886793135,-80.5305050836088,"B3",-1184748.72789262,-1.31723291578546
-8.50265889009078,TRUE,"2014-04-14 15:23:38",5,64,FALSE,4967915.51595211,-1185165.44534993,4967607.54211425,-1184727.03555186,"2014-04-14 15:23:38","2014-04-14 15:39:13",15.5833333333333,507.234189013511,102.754246503912,"B3",-1184727.03555186,-1.31900010320337
-8.50267350011483,TRUE,"2014-04-16 14:55:45",12,131,FALSE,4967893.18581746,-1185002.90381045,4967834.96670385,-1184755.15205699,"2014-04-16 14:55:45","2014-04-16 15:11:52",16.1166666666667,251.493667228671,-117.576112050653,"B3",-1184755.15205699,-1.3173447196559
-8.50268569121215,TRUE,"2014-04-13 10:49:45",1,18,FALSE,4968457.88171952,-1184982.56909625,4968566.98143477,-1184840.786563,"2014-04-13 10:49:45","2014-04-13 11:05:42",15.95,152.496796188305,-11.7928036222332,"B3",-1184840.786563,-1.31202075945926
-8.50269210830301,TRUE,"2014-04-14 11:26:31",5,49,FALSE,4967372.66733774,-1184931.0445314,4967746.12678907,-1184747.57171256,"2014-04-14 11:26:31","2014-04-14 11:42:01",15.5,408.360078486829,63.2482933294205,"B3",-1184747.57171256,-1.31798856562232
-8.50272281205015,TRUE,"2014-04-16 15:11:52",12,132,FALSE,4967860.10414325,-1184999.81427203,4968004.67743271,-1184781.510339,"2014-04-16 15:11:52","2014-04-16 15:27:19",15.45,235.921190469321,-80.7702158514851,"B3",-1184781.510339,-1.31610502423196
-8.50275057398629,TRUE,"2014-04-13 10:49:45",1,18,FALSE,4968457.88171952,-1184982.56909625,4968491.73143654,-1184841.23965924,"2014-04-13 10:49:45","2014-04-13 11:05:42",15.95,111.364179241711,-42.7203423311769,"B3",-1184841.23965924,-1.31256042050146
-8.50276335670871,TRUE,"2014-04-15 08:46:27",6,84,FALSE,4967573.25198453,-1185748.99606636,4967795.41227139,-1184763.1936819,"2014-04-15 08:46:27","2014-04-15 09:04:05",17.6333333333333,536.640573632908,120.524491442908,"B3",-1184763.1936819,-1.31762198671385
-8.50277299660045,TRUE,"2014-04-13 11:37:51",1,21,FALSE,4968423.24055699,-1184965.15169596,4968673.82729092,-1184865.25842125,"2014-04-13 11:37:51","2014-04-13 11:53:27",15.6,312.417675551953,69.7550499469811,"B3",-1184865.25842125,-1.31123384584166
-8.50277674200415,TRUE,"2014-04-13 08:30:20",1,9,FALSE,4968320.26347973,-1185214.24769954,4968488.51099454,-1184844.53308818,"2014-04-13 08:30:20","2014-04-13 08:45:48",15.4666666666667,362.777117752665,-55.4601245890952,"B3",-1184844.53308818,-1.31258082206179
-8.50279927903067,TRUE,"2014-04-13 10:03:09",1,15,FALSE,4968449.34568383,-1184992.64167349,4968283.97455621,-1184824.23521612,"2014-04-13 10:03:09","2014-04-13 10:18:35",15.4333333333333,237.723865346008,153.136559354253,"B3",-1184824.23521612,-1.31406540759641
